frame_idx,time_sec,detected,det_x1,det_y1,det_x2,det_y2,det_cx,det_cy,track_cx,track_cy,track_vx,track_vy,confidence,missing_count,note
104,4.16,0,,,,,,,,,,,1.0,0,uninitialised
105,4.2,0,,,,,,,,,,,1.0,0,uninitialised
106,4.24,0,,,,,,,,,,,1.0,0,uninitialised
107,4.28,0,,,,,,,,,,,1.0,0,uninitialised
108,4.32,0,,,,,,,,,,,1.0,0,uninitialised
109,4.36,0,,,,,,,,,,,1.0,0,uninitialised
110,4.4,0,,,,,,,,,,,1.0,0,uninitialised
111,4.44,0,,,,,,,,,,,1.0,0,uninitialised
112,4.48,0,,,,,,,,,,,1.0,0,uninitialised
113,4.52,0,,,,,,,,,,,1.0,0,uninitialised
114,4.56,0,,,,,,,,,,,1.0,0,uninitialised
115,4.6,0,,,,,,,,,,,1.0,0,uninitialised
116,4.64,0,,,,,,,,,,,1.0,0,uninitialised
117,4.68,0,,,,,,,,,,,1.0,0,uninitialised
118,4.72,0,,,,,,,,,,,1.0,0,uninitialised
119,4.76,0,,,,,,,,,,,1.0,0,uninitialised
120,4.8,0,,,,,,,,,,,1.0,0,uninitialised
121,4.84,0,,,,,,,,,,,1.0,0,uninitialised
122,4.88,0,,,,,,,,,,,1.0,0,uninitialised
123,4.92,0,,,,,,,,,,,1.0,0,uninitialised
124,4.96,0,,,,,,,,,,,1.0,0,uninitialised
125,5.0,0,,,,,,,,,,,1.0,0,uninitialised
126,5.04,0,,,,,,,,,,,1.0,0,uninitialised
127,5.08,0,,,,,,,,,,,1.0,0,uninitialised
128,5.12,0,,,,,,,,,,,1.0,0,uninitialised
129,5.16,0,,,,,,,,,,,1.0,0,uninitialised
130,5.2,0,,,,,,,,,,,1.0,0,uninitialised
131,5.24,0,,,,,,,,,,,1.0,0,uninitialised
132,5.28,0,,,,,,,,,,,1.0,0,uninitialised
133,5.32,0,,,,,,,,,,,1.0,0,uninitialised
134,5.36,0,,,,,,,,,,,1.0,0,uninitialised
135,5.4,0,,,,,,,,,,,1.0,0,uninitialised
136,5.44,0,,,,,,,,,,,1.0,0,uninitialised
137,5.48,0,,,,,,,,,,,1.0,0,uninitialised
138,5.52,0,,,,,,,,,,,1.0,0,uninitialised
139,5.56,0,,,,,,,,,,,1.0,0,uninitialised
140,5.6,0,,,,,,,,,,,1.0,0,uninitialised
141,5.64,0,,,,,,,,,,,1.0,0,uninitialised
142,5.68,0,,,,,,,,,,,1.0,0,uninitialised
143,5.72,0,,,,,,,,,,,1.0,0,uninitialised
144,5.76,0,,,,,,,,,,,1.0,0,uninitialised
145,5.8,0,,,,,,,,,,,1.0,0,uninitialised
146,5.84,0,,,,,,,,,,,1.0,0,uninitialised
147,5.88,0,,,,,,,,,,,1.0,0,uninitialised
148,5.92,0,,,,,,,,,,,1.0,0,uninitialised
149,5.96,0,,,,,,,,,,,1.0,0,uninitialised
150,6.0,0,,,,,,,,,,,1.0,0,uninitialised
151,6.04,0,,,,,,,,,,,1.0,0,uninitialised
152,6.08,0,,,,,,,,,,,1.0,0,uninitialised
153,6.12,0,,,,,,,,,,,1.0,0,uninitialised
154,6.16,0,,,,,,,,,,,1.0,0,uninitialised
155,6.2,0,,,,,,,,,,,1.0,0,uninitialised
156,6.24,0,,,,,,,,,,,1.0,0,uninitialised
157,6.28,0,,,,,,,,,,,1.0,0,uninitialised
158,6.32,0,,,,,,,,,,,1.0,0,uninitialised
159,6.36,0,,,,,,,,,,,1.0,0,uninitialised
160,6.4,0,,,,,,,,,,,1.0,0,uninitialised
161,6.44,0,,,,,,,,,,,1.0,0,uninitialised
162,6.48,0,,,,,,,,,,,1.0,0,uninitialised
163,6.52,0,,,,,,,,,,,1.0,0,uninitialised
164,6.56,0,,,,,,,,,,,1.0,0,uninitialised
165,6.6,0,,,,,,,,,,,1.0,0,uninitialised
166,6.64,0,,,,,,,,,,,1.0,0,uninitialised
167,6.68,0,,,,,,,,,,,1.0,0,uninitialised
168,6.72,0,,,,,,,,,,,1.0,0,uninitialised
169,6.76,0,,,,,,,,,,,1.0,0,uninitialised
170,6.8,0,,,,,,,,,,,1.0,0,uninitialised
171,6.84,0,,,,,,,,,,,1.0,0,uninitialised
172,6.88,0,,,,,,,,,,,1.0,0,uninitialised
173,6.92,0,,,,,,,,,,,1.0,0,uninitialised
174,6.96,0,,,,,,,,,,,1.0,0,uninitialised
175,7.0,0,,,,,,,,,,,1.0,0,uninitialised
176,7.04,0,,,,,,,,,,,1.0,0,uninitialised
177,7.08,0,,,,,,,,,,,1.0,0,uninitialised
178,7.12,0,,,,,,,,,,,1.0,0,uninitialised
179,7.16,0,,,,,,,,,,,1.0,0,uninitialised
180,7.2,0,,,,,,,,,,,1.0,0,uninitialised
181,7.24,0,,,,,,,,,,,1.0,0,uninitialised
182,7.28,0,,,,,,,,,,,1.0,0,uninitialised
183,7.32,0,,,,,,,,,,,1.0,0,uninitialised
184,7.36,0,,,,,,,,,,,1.0,0,uninitialised
185,7.4,0,,,,,,,,,,,1.0,0,uninitialised
186,7.44,0,,,,,,,,,,,1.0,0,uninitialised
187,7.48,0,,,,,,,,,,,1.0,0,uninitialised
188,7.52,0,,,,,,,,,,,1.0,0,uninitialised
189,7.56,0,,,,,,,,,,,1.0,0,uninitialised
190,7.6,0,,,,,,,,,,,1.0,0,uninitialised
191,7.64,0,,,,,,,,,,,1.0,0,uninitialised
192,7.68,0,,,,,,,,,,,1.0,0,uninitialised
193,7.72,0,,,,,,,,,,,1.0,0,uninitialised
194,7.76,0,,,,,,,,,,,1.0,0,uninitialised
195,7.8,0,,,,,,,,,,,1.0,0,uninitialised
196,7.84,0,,,,,,,,,,,1.0,0,uninitialised
197,7.88,0,,,,,,,,,,,1.0,0,uninitialised
198,7.92,0,,,,,,,,,,,1.0,0,uninitialised
199,7.96,0,,,,,,,,,,,1.0,0,uninitialised
200,8.0,0,,,,,,,,,,,1.0,0,uninitialised
201,8.04,0,,,,,,,,,,,1.0,0,uninitialised
202,8.08,0,,,,,,,,,,,1.0,0,uninitialised
203,8.12,0,,,,,,,,,,,1.0,0,uninitialised
204,8.16,0,,,,,,,,,,,1.0,0,uninitialised
205,8.2,0,,,,,,,,,,,1.0,0,uninitialised
